"X","group","names","scores","logfoldchanges","pvals","pvals_adj","cluster","avg_log2FC","p_val_adj","gene"
45557,1,"STRG.5769",35.188522,3.8945901,2.99568815024904e-271,4.01105021623345e-268,1,3.8945901,4.01105021623345e-268,"STRG.5769"
45558,1,"arahy.Tifrunner.gnm2.ann2.Ah09g409800",33.96949,3.0650675,6.28882175585789e-253,8.17978061753357e-250,1,3.0650675,8.17978061753357e-250,"arahy.Tifrunner.gnm2.ann2.Ah09g409800"
45559,1,"arahy.Tifrunner.gnm2.ann2.Ah17g203300",33.18915,3.2212775,1.54379519923904e-241,1.89945223378805e-238,1,3.2212775,1.89945223378805e-238,"arahy.Tifrunner.gnm2.ann2.Ah17g203300"
45560,1,"arahy.Tifrunner.gnm2.ann2.Ah10g327300",33.06395,3.3634653,9.80484303803223e-240,1.17462019595626e-236,1,3.3634653,1.17462019595626e-236,"arahy.Tifrunner.gnm2.ann2.Ah10g327300"
45561,1,"arahy.Tifrunner.gnm2.ann2.Ah06g377400",32.71781,3.2597325,8.71659489195683e-235,1.0174724765678e-231,1,3.2597325,1.0174724765678e-231,"arahy.Tifrunner.gnm2.ann2.Ah06g377400"
45562,1,"arahy.Tifrunner.gnm2.ann2.Ah15g406500",32.505592,1.9371693,8.88889589034172e-232,1.01164524127979e-228,1,1.9371693,1.01164524127979e-228,"arahy.Tifrunner.gnm2.ann2.Ah15g406500"
45563,1,"arahy.Tifrunner.gnm2.ann2.Ah05g232400",31.659185,3.2496023,5.66834076705403e-220,6.2937937824236e-217,1,3.2496023,6.2937937824236e-217,"arahy.Tifrunner.gnm2.ann2.Ah05g232400"
45564,1,"arahy.Tifrunner.gnm2.ann2.Ah20g419300",30.446758,3.3596342,1.32231784299512e-203,1.39993482522116e-200,1,3.3596342,1.39993482522116e-200,"arahy.Tifrunner.gnm2.ann2.Ah20g419300"
45565,1,"STRG.4331",30.161898,2.8962383,7.48959187961648e-200,7.74900410744683e-197,1,2.8962383,7.74900410744683e-197,"STRG.4331"
45566,1,"arahy.Tifrunner.gnm2.ann2.Ah13g380800",29.868706,3.1981685,5.01879416000715e-196,5.07723522978146e-193,1,3.1981685,5.07723522978146e-193,"arahy.Tifrunner.gnm2.ann2.Ah13g380800"
45567,1,"arahy.Tifrunner.gnm2.ann2.Ah14g462000",29.80903,2.748016,2.98389039643706e-195,2.95301361755219e-192,1,2.748016,2.95301361755219e-192,"arahy.Tifrunner.gnm2.ann2.Ah14g462000"
45568,1,"STRG.1416",28.821331,2.9856136,1.1592762539303e-182,1.12287004646645e-179,1,2.9856136,1.12287004646645e-179,"STRG.1416"
45569,1,"STRG.3916",27.986828,2.8441744,2.35037164024733e-172,2.22913163647124e-169,1,2.8441744,2.22913163647124e-169,"STRG.3916"
45570,1,"arahy.Tifrunner.gnm2.ann2.Ah04g064900",27.789734,3.847132,5.7722087961022e-170,5.36273537211748e-167,1,3.847132,5.36273537211748e-167,"arahy.Tifrunner.gnm2.ann2.Ah04g064900"
45571,1,"arahy.Tifrunner.gnm2.ann2.Ah03g326000",27.559092,3.100651,3.44359789516624e-167,3.13532701159096e-164,1,3.100651,3.13532701159096e-164,"arahy.Tifrunner.gnm2.ann2.Ah03g326000"
45572,1,"arahy.Tifrunner.gnm2.ann2.Ah07g177500",27.42351,2.953458,1.43848044781528e-165,1.28402713541849e-162,1,2.953458,1.28402713541849e-162,"arahy.Tifrunner.gnm2.ann2.Ah07g177500"
45573,1,"STRG.2239",26.517319,2.1768754,6.12002757100681e-155,5.35784875274065e-152,1,2.1768754,5.35784875274065e-152,"STRG.2239"
45574,1,"arahy.Tifrunner.gnm2.ann2.Ah19g512300",26.23652,2.779072,1.01860090341474e-151,8.7492051937835e-149,1,2.779072,8.7492051937835e-149,"arahy.Tifrunner.gnm2.ann2.Ah19g512300"
45575,1,"arahy.Tifrunner.gnm2.ann2.Ah01g013100",26.227564,3.2415314,1.28884831227706e-151,1.08654686237224e-148,1,3.2415314,1.08654686237224e-148,"arahy.Tifrunner.gnm2.ann2.Ah01g013100"
45576,1,"STRG.1614",26.07965,1.3988,6.20442473901122e-150,5.13545876034085e-147,1,1.3988,5.13545876034085e-147,"STRG.1614"
45577,1,"STRG.2274",26.076756,2.8340986,6.69165980939533e-150,5.43984144933773e-147,1,2.8340986,5.43984144933773e-147,"STRG.2274"
45578,1,"STRG.561",25.868555,3.2296119,1.50475661467859e-147,1.20179894958997e-144,1,3.2296119,1.20179894958997e-144,"STRG.561"
45579,1,"arahy.Tifrunner.gnm2.ann2.Ah13g256600",25.329845,3.2125762,1.49876153839255e-141,1.15643424192852e-138,1,3.2125762,1.15643424192852e-138,"arahy.Tifrunner.gnm2.ann2.Ah13g256600"
