cellName,geneSymbolmore1,geneSymbolmore2,shortName
celltype1,"RPS14,RPL32,RPS6",,celltype1
celltype2,"FTL,CTSS,LST1",,celltype2
celltype3,"CCL5,CTSW,NKG7",,celltype3
celltype4,"CD74,CD79B,HLA-DPA1",,celltype4
celltype5,"IL32,LTB,B2M",,celltype5
celltype6,"LYZ,FCER1A,HLA-DRB1",,celltype6
